id,track,type,start,end,confidence,evidence_level,creator,value,quoteType,speaker,verb
urn:palimpsest:pride-and-prejudice-ch1:dialogue:2ade6400,dialogue,DialogueAnnotation,381,400,0.85,E5,palimpsest-dialogue/0.1,"My dear Mr. Bennet,",direct,his,said
urn:palimpsest:pride-and-prejudice-ch1:dialogue:a31daae9,dialogue,DialogueAnnotation,526,536,0.85,E5,palimpsest-dialogue/0.1,"But it is,",direct,that,replied
urn:palimpsest:pride-and-prejudice-ch1:dialogue:2e31939d,dialogue,DialogueAnnotation,648,689,0.85,E5,palimpsest-dialogue/0.1,Do not you want to know who has taken it?,direct,his,cried
urn:palimpsest:pride-and-prejudice-ch1:dialogue:b84f90c6,dialogue,DialogueAnnotation,722,783,0.85,E5,palimpsest-dialogue/0.1,"_You_ want to tell me, and I have no objection to hearing it.",direct,his,cried
urn:palimpsest:pride-and-prejudice-ch1:dialogue:f16dda82,dialogue,DialogueAnnotation,1215,1232,0.85,E5,palimpsest-dialogue/0.1,What is his name?,direct,,
urn:palimpsest:pride-and-prejudice-ch1:dialogue:33771295,dialogue,DialogueAnnotation,1236,1244,0.85,E5,palimpsest-dialogue/0.1,Bingley.,direct,,
urn:palimpsest:pride-and-prejudice-ch1:dialogue:8e9fa034,dialogue,DialogueAnnotation,1248,1272,0.85,E5,palimpsest-dialogue/0.1,Is he married or single?,direct,,
urn:palimpsest:pride-and-prejudice-ch1:dialogue:8b488f18,dialogue,DialogueAnnotation,1406,1437,0.85,E5,palimpsest-dialogue/0.1,How so? how can it affect them?,direct,his,replied
urn:palimpsest:pride-and-prejudice-ch1:dialogue:ba33b745,dialogue,DialogueAnnotation,1441,1460,0.85,E5,palimpsest-dialogue/0.1,"My dear Mr. Bennet,",direct,his,replied
urn:palimpsest:pride-and-prejudice-ch1:dialogue:8544ee1d,dialogue,DialogueAnnotation,1574,1610,0.85,E5,palimpsest-dialogue/0.1,Is that his design in settling here?,direct,,
urn:palimpsest:pride-and-prejudice-ch1:dialogue:45c10e8f,dialogue,DialogueAnnotation,2218,2279,0.85,E5,palimpsest-dialogue/0.1,"In such cases, a woman has not often much beauty to think of.",direct,,
urn:palimpsest:pride-and-prejudice-ch1:dialogue:0694faf7,dialogue,DialogueAnnotation,2377,2420,0.85,E5,palimpsest-dialogue/0.1,"It is more than I engage for, I assure you.",direct,,
urn:palimpsest:pride-and-prejudice-ch1:dialogue:2b89bff0,dialogue,DialogueAnnotation,3210,3256,0.85,E5,palimpsest-dialogue/0.1,"They have none of them much to recommend them,",direct,,
urn:palimpsest:pride-and-prejudice-ch1:dialogue:057d2dd0,dialogue,DialogueAnnotation,3693,3727,0.85,E5,palimpsest-dialogue/0.1,"Ah, you do not know what I suffer.",direct,,
