id,track,type,start,end,confidence,evidence_level,creator,value,entityType,mentionType
urn:palimpsest:pride-and-prejudice-ch1:entities:f90b69f7,entities,EntityAnnotation,393,399,0.85,E4,spacy/en_core_web_lg,Bennet,PER,name
urn:palimpsest:pride-and-prejudice-ch1:entities:18a1f185,entities,EntityAnnotation,453,469,0.85,E4,spacy/en_core_web_lg,Netherfield Park,LOC,name
urn:palimpsest:pride-and-prejudice-ch1:entities:5b03d5d5,entities,EntityAnnotation,492,498,0.85,E4,spacy/en_core_web_lg,Bennet,PER,name
urn:palimpsest:pride-and-prejudice-ch1:entities:fe4e3bbb,entities,EntityAnnotation,562,566,0.85,E4,spacy/en_core_web_lg,Long,PER,name
urn:palimpsest:pride-and-prejudice-ch1:entities:b23accc3,entities,EntityAnnotation,623,629,0.85,E4,spacy/en_core_web_lg,Bennet,PER,name
urn:palimpsest:pride-and-prejudice-ch1:entities:b73a543d,entities,EntityAnnotation,850,854,0.85,E4,spacy/en_core_web_lg,Long,PER,name
urn:palimpsest:pride-and-prejudice-ch1:entities:9cbfab34,entities,EntityAnnotation,865,876,0.85,E4,spacy/en_core_web_lg,Netherfield,ORG,name
urn:palimpsest:pride-and-prejudice-ch1:entities:f5f8f80a,entities,EntityAnnotation,936,943,0.85,E4,spacy/en_core_web_lg,England,LOC,name
urn:palimpsest:pride-and-prejudice-ch1:entities:ec486507,entities,EntityAnnotation,1070,1076,0.85,E4,spacy/en_core_web_lg,Morris,PER,name
urn:palimpsest:pride-and-prejudice-ch1:entities:abe86825,entities,EntityAnnotation,1127,1137,0.85,E4,spacy/en_core_web_lg,Michaelmas,PER,name
urn:palimpsest:pride-and-prejudice-ch1:entities:0ac930ca,entities,EntityAnnotation,1236,1243,0.85,E4,spacy/en_core_web_lg,Bingley,PER,name
urn:palimpsest:pride-and-prejudice-ch1:entities:cb04f38c,entities,EntityAnnotation,1453,1459,0.85,E4,spacy/en_core_web_lg,Bennet,PER,name
urn:palimpsest:pride-and-prejudice-ch1:entities:80418484,entities,EntityAnnotation,1950,1957,0.85,E4,spacy/en_core_web_lg,Bingley,PER,name
urn:palimpsest:pride-and-prejudice-ch1:entities:e3f628bf,entities,EntityAnnotation,2328,2335,0.85,E4,spacy/en_core_web_lg,Bingley,PER,name
urn:palimpsest:pride-and-prejudice-ch1:entities:f6438992,entities,EntityAnnotation,2519,2526,0.85,E4,spacy/en_core_web_lg,William,PER,name
urn:palimpsest:pride-and-prejudice-ch1:entities:ab36751c,entities,EntityAnnotation,2531,2541,0.85,E4,spacy/en_core_web_lg,Lady Lucas,PER,name
urn:palimpsest:pride-and-prejudice-ch1:entities:1bbd5304,entities,EntityAnnotation,2775,2782,0.85,E4,spacy/en_core_web_lg,Bingley,PER,name
urn:palimpsest:pride-and-prejudice-ch1:entities:035269df,entities,EntityAnnotation,2983,2988,0.85,E4,spacy/en_core_web_lg,Lizzy,PER,name
urn:palimpsest:pride-and-prejudice-ch1:entities:a5fd6558,entities,EntityAnnotation,3029,3034,0.85,E4,spacy/en_core_web_lg,Lizzy,PER,name
urn:palimpsest:pride-and-prejudice-ch1:entities:e5968bad,entities,EntityAnnotation,3117,3121,0.85,E4,spacy/en_core_web_lg,Jane,PER,name
urn:palimpsest:pride-and-prejudice-ch1:entities:a45ef568,entities,EntityAnnotation,3152,3157,0.85,E4,spacy/en_core_web_lg,Lydia,PER,name
urn:palimpsest:pride-and-prejudice-ch1:entities:c790b0a1,entities,EntityAnnotation,3325,3330,0.85,E4,spacy/en_core_web_lg,Lizzy,PER,name
urn:palimpsest:pride-and-prejudice-ch1:entities:28b47efb,entities,EntityAnnotation,3388,3394,0.85,E4,spacy/en_core_web_lg,Bennet,PER,name
urn:palimpsest:pride-and-prejudice-ch1:entities:b34d16e1,entities,EntityAnnotation,4020,4026,0.85,E4,spacy/en_core_web_lg,Bennet,PER,name
