id,track,type,start,end,confidence,evidence_level,creator,value,hapaxCount,meanWordLength,ttr,yulesK
urn:palimpsest:pride-and-prejudice-ch1:lexical:8207bb28,lexical,LexicalAnnotation,0,116,0.99,E5,palimpsest-lexical/0.1,,15,4.0,0.7826,302.4575
urn:palimpsest:pride-and-prejudice-ch1:lexical:dcd15042,lexical,LexicalAnnotation,118,378,0.99,E5,palimpsest-lexical/0.1,,34,4.375,0.8125,130.2083
urn:palimpsest:pride-and-prejudice-ch1:lexical:c8077263,lexical,LexicalAnnotation,380,486,0.99,E5,palimpsest-lexical/0.1,,21,3.7143,1.0,0.0
urn:palimpsest:pride-and-prejudice-ch1:lexical:d60b6980,lexical,LexicalAnnotation,488,523,0.99,E5,palimpsest-lexical/0.1,,7,3.8571,1.0,0.0
urn:palimpsest:pride-and-prejudice-ch1:lexical:d29639e4,lexical,LexicalAnnotation,525,617,0.99,E5,palimpsest-lexical/0.1,,15,3.4211,0.8947,110.8033
urn:palimpsest:pride-and-prejudice-ch1:lexical:4d893fa6,lexical,LexicalAnnotation,619,645,0.99,E5,palimpsest-lexical/0.1,,5,4.0,1.0,0.0
urn:palimpsest:pride-and-prejudice-ch1:lexical:608d2555,lexical,LexicalAnnotation,647,719,0.99,E5,palimpsest-lexical/0.1,,14,3.8571,1.0,0.0
urn:palimpsest:pride-and-prejudice-ch1:lexical:f1762838,lexical,LexicalAnnotation,721,784,0.99,E5,palimpsest-lexical/0.1,,11,3.4615,0.9231,118.3432
urn:palimpsest:pride-and-prejudice-ch1:lexical:c4231b1c,lexical,LexicalAnnotation,815,1212,0.99,E5,palimpsest-lexical/0.1,,48,3.8861,0.7468,102.5477
urn:palimpsest:pride-and-prejudice-ch1:lexical:3e902567,lexical,LexicalAnnotation,1247,1273,0.99,E5,palimpsest-lexical/0.1,,5,3.8,1.0,0.0
urn:palimpsest:pride-and-prejudice-ch1:lexical:26a862d0,lexical,LexicalAnnotation,1275,1403,0.99,E5,palimpsest-lexical/0.1,,21,3.6154,0.8846,118.3432
urn:palimpsest:pride-and-prejudice-ch1:lexical:3813198f,lexical,LexicalAnnotation,1405,1438,0.99,E5,palimpsest-lexical/0.1,,5,3.2857,0.8571,408.1633
urn:palimpsest:pride-and-prejudice-ch1:lexical:8d65c996,lexical,LexicalAnnotation,1440,1571,0.99,E5,palimpsest-lexical/0.1,,20,3.7308,0.8846,88.7574
urn:palimpsest:pride-and-prejudice-ch1:lexical:7e7b9fa0,lexical,LexicalAnnotation,1573,1611,0.99,E5,palimpsest-lexical/0.1,,7,4.1429,1.0,0.0
urn:palimpsest:pride-and-prejudice-ch1:lexical:e7c7359e,lexical,LexicalAnnotation,1613,1774,0.99,E5,palimpsest-lexical/0.1,,27,3.6364,0.9091,55.0964
urn:palimpsest:pride-and-prejudice-ch1:lexical:a92780ed,lexical,LexicalAnnotation,1776,1996,0.99,E5,palimpsest-lexical/0.1,,27,3.7111,0.7556,158.0247
urn:palimpsest:pride-and-prejudice-ch1:lexical:0dfa6ee5,lexical,LexicalAnnotation,1998,2215,0.99,E5,palimpsest-lexical/0.1,,31,4.0732,0.878,59.4884
urn:palimpsest:pride-and-prejudice-ch1:lexical:7dce04bd,lexical,LexicalAnnotation,2217,2280,0.99,E5,palimpsest-lexical/0.1,,13,3.6154,1.0,0.0
urn:palimpsest:pride-and-prejudice-ch1:lexical:bfab0ebe,lexical,LexicalAnnotation,2282,2374,0.99,E5,palimpsest-lexical/0.1,,17,4.1176,1.0,0.0
urn:palimpsest:pride-and-prejudice-ch1:lexical:57ef4962,lexical,LexicalAnnotation,2376,2421,0.99,E5,palimpsest-lexical/0.1,,8,3.2,0.9,200.0
urn:palimpsest:pride-and-prejudice-ch1:lexical:9b033f8c,lexical,LexicalAnnotation,2423,2724,0.99,E5,palimpsest-lexical/0.1,,40,4.0526,0.8246,86.1804
urn:palimpsest:pride-and-prejudice-ch1:lexical:edffe42e,lexical,LexicalAnnotation,2726,2990,0.99,E5,palimpsest-lexical/0.1,,37,3.7593,0.8148,89.1632
urn:palimpsest:pride-and-prejudice-ch1:lexical:761de9f5,lexical,LexicalAnnotation,2992,3207,0.99,E5,palimpsest-lexical/0.1,,28,3.7045,0.8182,82.6446
urn:palimpsest:pride-and-prejudice-ch1:lexical:b97c74bb,lexical,LexicalAnnotation,3209,3381,0.99,E5,palimpsest-lexical/0.1,,24,4.5,0.9,66.6667
urn:palimpsest:pride-and-prejudice-ch1:lexical:b5bdeb7e,lexical,LexicalAnnotation,3383,3520,0.99,E5,palimpsest-lexical/0.1,,22,3.8519,0.8889,109.7394
urn:palimpsest:pride-and-prejudice-ch1:lexical:990e2c34,lexical,LexicalAnnotation,3522,3690,0.99,E5,palimpsest-lexical/0.1,,23,4.2258,0.871,83.2466
urn:palimpsest:pride-and-prejudice-ch1:lexical:ae50d225,lexical,LexicalAnnotation,3692,3728,0.99,E5,palimpsest-lexical/0.1,,8,3.125,1.0,0.0
urn:palimpsest:pride-and-prejudice-ch1:lexical:7f288c28,lexical,LexicalAnnotation,3730,3848,0.99,E5,palimpsest-lexical/0.1,,24,3.7917,1.0,0.0
urn:palimpsest:pride-and-prejudice-ch1:lexical:19116319,lexical,LexicalAnnotation,3850,3935,0.99,E5,palimpsest-lexical/0.1,,16,3.5,0.9444,61.7284
urn:palimpsest:pride-and-prejudice-ch1:lexical:22922aa9,lexical,LexicalAnnotation,3937,4014,0.99,E5,palimpsest-lexical/0.1,,15,3.8,1.0,0.0
urn:palimpsest:pride-and-prejudice-ch1:lexical:0318ad3e,lexical,LexicalAnnotation,4016,4487,0.99,E5,palimpsest-lexical/0.1,,48,4.9221,0.7403,131.5568
