id,track,type,start,end,confidence,evidence_level,creator,value,segmentIndex,segmentType
urn:palimpsest:pride-and-prejudice-ch1:segments:7e946bcc,segments,SegmentAnnotation,0,116,1.0,E1,palimpsest-segmenter/0.1,,0,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:5ef96ed8,segments,SegmentAnnotation,118,378,1.0,E1,palimpsest-segmenter/0.1,,1,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:7c5afdfd,segments,SegmentAnnotation,380,486,1.0,E1,palimpsest-segmenter/0.1,,2,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:f8a70e25,segments,SegmentAnnotation,488,523,1.0,E1,palimpsest-segmenter/0.1,,3,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:34b18f3d,segments,SegmentAnnotation,525,617,1.0,E1,palimpsest-segmenter/0.1,,4,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:5abfd35c,segments,SegmentAnnotation,619,645,1.0,E1,palimpsest-segmenter/0.1,,5,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:3ff687f0,segments,SegmentAnnotation,647,719,1.0,E1,palimpsest-segmenter/0.1,,6,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:a1ea462d,segments,SegmentAnnotation,721,784,1.0,E1,palimpsest-segmenter/0.1,,7,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:2b7b2a8d,segments,SegmentAnnotation,786,813,1.0,E1,palimpsest-segmenter/0.1,,8,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:a0671710,segments,SegmentAnnotation,815,1212,1.0,E1,palimpsest-segmenter/0.1,,9,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:ce932f12,segments,SegmentAnnotation,1214,1233,1.0,E1,palimpsest-segmenter/0.1,,10,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:e7a598eb,segments,SegmentAnnotation,1235,1245,1.0,E1,palimpsest-segmenter/0.1,,11,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:99e994f6,segments,SegmentAnnotation,1247,1273,1.0,E1,palimpsest-segmenter/0.1,,12,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:edea6be4,segments,SegmentAnnotation,1275,1403,1.0,E1,palimpsest-segmenter/0.1,,13,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:7aa810a7,segments,SegmentAnnotation,1405,1438,1.0,E1,palimpsest-segmenter/0.1,,14,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:1c8efa86,segments,SegmentAnnotation,1440,1571,1.0,E1,palimpsest-segmenter/0.1,,15,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:ed7a9e89,segments,SegmentAnnotation,1573,1611,1.0,E1,palimpsest-segmenter/0.1,,16,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:a376ae2c,segments,SegmentAnnotation,1613,1774,1.0,E1,palimpsest-segmenter/0.1,,17,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:314d3b70,segments,SegmentAnnotation,1776,1996,1.0,E1,palimpsest-segmenter/0.1,,18,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:340c2d49,segments,SegmentAnnotation,1998,2215,1.0,E1,palimpsest-segmenter/0.1,,19,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:00b4aaea,segments,SegmentAnnotation,2217,2280,1.0,E1,palimpsest-segmenter/0.1,,20,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:b58491ce,segments,SegmentAnnotation,2282,2374,1.0,E1,palimpsest-segmenter/0.1,,21,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:5c2bdcfb,segments,SegmentAnnotation,2376,2421,1.0,E1,palimpsest-segmenter/0.1,,22,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:57eae002,segments,SegmentAnnotation,2423,2724,1.0,E1,palimpsest-segmenter/0.1,,23,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:07f8220c,segments,SegmentAnnotation,2726,2990,1.0,E1,palimpsest-segmenter/0.1,,24,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:374141dc,segments,SegmentAnnotation,2992,3207,1.0,E1,palimpsest-segmenter/0.1,,25,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:9ed60ee6,segments,SegmentAnnotation,3209,3381,1.0,E1,palimpsest-segmenter/0.1,,26,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:b57c6f12,segments,SegmentAnnotation,3383,3520,1.0,E1,palimpsest-segmenter/0.1,,27,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:b17c2797,segments,SegmentAnnotation,3522,3690,1.0,E1,palimpsest-segmenter/0.1,,28,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:bc02b493,segments,SegmentAnnotation,3692,3728,1.0,E1,palimpsest-segmenter/0.1,,29,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:04393e93,segments,SegmentAnnotation,3730,3848,1.0,E1,palimpsest-segmenter/0.1,,30,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:85b7ead7,segments,SegmentAnnotation,3850,3935,1.0,E1,palimpsest-segmenter/0.1,,31,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:069ae616,segments,SegmentAnnotation,3937,4014,1.0,E1,palimpsest-segmenter/0.1,,32,paragraph
urn:palimpsest:pride-and-prejudice-ch1:segments:92f76bb3,segments,SegmentAnnotation,4016,4487,1.0,E1,palimpsest-segmenter/0.1,,33,paragraph
