page,illo,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,details,death,bad,ok,good,win,,,,,,
1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,
3.0,f,,,,,,,,,,,,,,,,,,,,,,,,
4.0,,5.0,17.0,,,,,,,,,,,,,,,,,,,,,,
5.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
6.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,
7.0,,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,
8.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,
9.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,
10.0,,13.0,17.0,,,,,,,,,,,,,,,,,,,,,,
11.0,f,,,,,,,,,,,,,,,,,,,,,,,,
12.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,
13.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,
14.0,f,,,,,,,,,,,,,,,,,,,,,,,,
15.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,
16.0,0.0,19.0,20.0,,,,,,,,,,,,,,,,,,,,,,
17.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,
18.0,,23.0,26.0,,,,,,,,,,,,,,,,,,,,,,
19.0,,27.0,28.0,29.0,30.0,31.0,,,,,,,,,,,,,,,,,,,
20.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,
21.0,f,,,,,,,,,,,,,,,,,,,,,,,,
22.0,f,,,,,,,,,,,,,,,,,,,,,,,,
23.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,
24.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,
25.0,,47.0,48.0,,,,,,,,,,,,,,,,,,,,,,
26.0,,41.0,,,,,,,,,,,,,,,,,,,,,,,
27.0,0.0,34.0,,,,,,,,,,,,,,,,,,,,,,,
28.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,
29.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,
30.0,0.0,34.0,,,,,,,,,,,,,,,,,,,,,,,
31.0,0.0,34.0,,,,,,,,,,,,,,,,,,,,,,,
32.0,f,,,,,,,,,,,,,,,,,,,,,,,,
33.0,,37.0,40.0,,,,,,,,,,,,,,,,,,,,,,
34.0,,33.0,35.0,,,,,,,,,,,,,,,,,,,,,,
35.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,
36.0,,39.0,41.0,42.0,,,,,,,,,,,,,,,,,,,,,
37.0,0.0,44.0,,,,,,,,,,,,,,,,,,,,,,,
38.0,f,,,,,,,,,,,,,,,,,,,,,,,,
39.0,,44.0,,,,,,,,,,,,,,,,,,,,,,,
40.0,,44.0,,,,,,,,,,,,,,,,,,,,,,,
41.0,,45.0,46.0,,,,,,,,,,,,,,,,,,,,,,
42.0,,43.0,,,,,,,,,,,,,,,,,,,,,,,
43.0,,47.0,48.0,49.0,,,,,,,,,,,,,,,,,,,,,
44.0,,55.0,58.0,62.0,63.0,64.0,,,,,,,,,,,,,,,,,,,
45.0,0.0,49.0,52.0,,,,,,,,,,,,,,,,,,,,,,
46.0,,85.0,,,,,,,,,,,,,,,,,,,,,,,
47.0,0.0,50.0,89.0,,,,,,,,,,,,,,,,,,,,,,
48.0,,53.0,57.0,,,,,,,,,,,,,,,,,,,,,,
49.0,,79.0,,,,,,,,,,,,,,,,,,,,,,,
50.0,,65.0,66.0,,,,,,,,,,,,,,,,,,,,,,
51.0,f,,,,,,,,,,,,,,,,,,,,,,,,
52.0,,85.0,,,,,,,,,,,,,,,,,,,,,,,
53.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,
54.0,,,,,,,,,,,,,,0,,,,,,,,,,,
55.0,,59.0,,,,,,,,,,,,,,,,,,,,,,,
56.0,f,,,,,,,,,,,,,,,,,,,,,,,,
57.0,,67.0,68.0,,,,,,,,,,,,,,,,,,,,,,
58.0,,59.0,,,,,,,,,,,,,,,,,,,,,,,
59.0,,60.0,42.0,,,,,,,,,,,,,,,,,,,,,,
60.0,,70.0,71.0,72.0,73.0,,,,,,,,,,,,,,,,,,,,
61.0,f,,,,,,,,,,,,,,,,,,,,,,,,
62.0,,74.0,75.0,79.0,,,,,,,,,,,,,,,,,,,,,
63.0,,79.0,,,,,,,,,,,,,,,,,,,,,,,
64.0,0.0,85.0,,,,,,,,,,,,,,,,,,,,,,,
65.0,0.0,80.0,81.0,,,,,,,,,,,,,,,,,,,,,,
66.0,,,,,,,,,,,,,,0,,,,,,,,,,,
67.0,,,,,,,,,,,,,,0,,,,,,,,,,,
68.0,,,,,,,,,,,,,,0,,,,,,,,,,,
69.0,f,,,,,,,,,,,,,,,,,,,,,,,,
70.0,0.0,89.0,,,,,,,,,,,,,,,,,,,,,,,
71.0,0.0,89.0,,,,,,,,,,,,,,,,,,,,,,,
72.0,0.0,89.0,,,,,,,,,,,,,,,,,,,,,,,
73.0,,89.0,,,,,,,,,,,,,,,,,,,,,,,
74.0,,85.0,,,,,,,,,,,,,,,,,,,,,,,
75.0,0.0,77.0,,,,,,,,,,,,,,,,,,,,,,,
76.0,f,,,,,,,,,,,,,,,,,,,,,,,,
77.0,,78.0,,,,,,,,,,,,,,,,,,,,,,,
78.0,,83.0,89.0,103.0,,,,,,,,,,,,,,,,,,,,,
79.0,,74.0,,,,,,,,,,,,,,,,,,,,,,,
80.0,0.0,,,,,,,,,,,,,0,,,,,,,,,,,
81.0,,82.0,,,,,,,,,,,,,,,,,,,,,,,
82.0,,,,,,,,,,,,,,0,,,,,,,,,,,
83.0,,92.0,93.0,,,,,,,,,,,,,,,,,,,,,,
84.0,f,,,,,,,,,,,,,,,,,,,,,,,,
85.0,,86.0,,,,,,,,,,,,,,,,,,,,,,,
86.0,,89.0,,,,,,,,,,,,,,,,,,,,,,,
87.0,,94.0,95.0,,,,,,,,,,,,,,,,,,,,,,
88.0,f,,,,,,,,,,,,,,,,,,,,,,,,
89.0,,87.0,90.0,,,,,,,,,,,,,,,,,,,,,,
90.0,,121.0,,,,,,,,,,,,,,,,,,,,,,,
91.0,f,,,,,,,,,,,,,,,,,,,,,,,,
92.0,,105.0,101.0,,,,,,,,,,,,,,,,,,,,,,
93.0,0.0,101.0,,,,,,,,,,,,,,,,,,,,,,,
94.0,,101.0,,,,,,,,,,,,,,,,,,,,,,,
95.0,0.0,97.0,98.0,99.0,100.0,96.0,,,,,,,,,,,,,,,,,,,
96.0,,101.0,,,,,,,,,,,,,,,,,,,,,,,
97.0,,,,,,,,,,,,,,0,,,,,,,,,,,
98.0,0.0,101.0,,,,,,,,,,,,,,,,,,,,,,,
99.0,,101.0,,,,,,,,,,,,,,,,,,,,,,,
100.0,,101.0,,,,,,,,,,,,,,,,,,,,,,,
101.0,0.0,106.0,110.0,107.0,111.0,112.0,114.0,115.0,116.0,117.0,118.0,119.0,122.0,,,,,,,,,,,,
102.0,f,,,,,,,,,,,,,,,,,,,,,,,,
103.0,,104.0,,,,,,,,,,,,,,,,,,,,,,,
104.0,,,,,,,,,,,,,,0,,,,,,,,,,,
105.0,,,,,,,,,,,,,,0,,,,,,,,,,,
106.0,0.0,101.0,,,,,,,,,,,,,,,,,,,,,,,
107.0,,108.0,,,,,,,,,,,,,,,,,,,,,,,
108.0,s,109.0,,,,,,,,,,,,,,,,,,,,,,,
109.0,s,121.0,,,,,,,,,,,,,,,,,,,,,,,
110.0,,101.0,,,,,,,,,,,,,,,,,,,,,,,
111.0,,101.0,119.0,122.0,,,,,,,,,,,,,,,,,,,,,
112.0,,113.0,,,,,,,,,,,,,,,,,,,,,,,
113.0,0.0,,,,,,,,,,,,,0,,,,,,,,,,,
114.0,,101.0,119.0,122.0,,,,,,,,,,,,,,,,,,,,,
115.0,,,,,,,,,,,,,,0,,,,,,,,,,,
116.0,,101.0,119.0,122.0,,,,,,,,,,,,,,,,,,,,,
117.0,0.0,101.0,,,,,,,,,,,,,,,,,,,,,,,
118.0,,101.0,119.0,122.0,,,,,,,,,,,,,,,,,,,,,
119.0,0.0,,,,,,,,,,,,,0,,,,,,,,,,,
120.0,f,,,,,,,,,,,,,,,,,,,,,,,,
121.0,,,,,,,,,,,,,,0,,,,,,,,,,,
122.0,0.0,,,,,,,,,,,,,0,,,,,,,,,,,
